attraction_name,district,category,review_text,sentiment
องค์พระปฐมเจดีย์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,สถานที่สวยงามมาก บรรยากาศร่มรื่น เหมาะแก่การมาพักผ่อนและทำบุญกับครอบครัว,positive
องค์พระปฐมเจดีย์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,ไปทำบุญที่องค์พระปฐมเจดีย์มา ประทับใจมาก องค์พระสวยงาม อลังการ สะอาดสะอ้าน มีจุดไหว้พระขอพรหลายจุด,positive
องค์พระปฐมเจดีย์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,ของกินอร่อยเยอะมากรอบองค์พระ ราคาไม่แพง พ่อค้าแม่ค้าใจดี อัธยาศัยดีมาก แนะนำเลยครับ,positive
องค์พระปฐมเจดีย์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,สถานที่สวยงามและศักดิ์สิทธิ์มาก แต่คนเยอะมากในวันหยุด หาที่จอดรถค่อนข้างยาก,neutral
องค์พระปฐมเจดีย์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,อากาศค่อนข้างร้อน แดดแรง แนะนำให้พกร่มมาด้วย โดยรวมประทับใจ,neutral
วัดไร่ขิงพระอารามหลวง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,ไปทำบุญที่วัดไร่ขิงพระอารามหลวงมา หลวงพ่อศักดิ์สิทธิ์มาก บรรยากาศริมแม่น้ำร่มรื่น สบายใจมาก,positive
วัดไร่ขิงพระอารามหลวง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,การจัดการดี ที่จอดรถกว้างขวาง มีเจ้าหน้าที่คอยโบกรถและให้คำแนะนำอย่างดี,positive
วัดไร่ขิงพระอารามหลวง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,วันเสาร์อาทิตย์คนแน่นมาก รอคิวให้อาหารปลานาน แต่ริมน้ำลมเย็นสบาย,neutral
วัดไร่ขิงพระอารามหลวง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,ทางเข้าวัดรถติดมาก การจราจรติดขัดช่วงเทศกาล ควรเผื่อเวลาเดินทาง,negative
ตลาดน้ำดอนหวาย,สามพราน,นันทนาการและพักผ่อน,แวะมาเดินเล่นที่ตลาดน้ำดอนหวาย ของกินอร่อยเยอะมาก เป็ดพะโล้ ขนมไทยโบราณรสชาติดีมาก,positive
ตลาดน้ำดอนหวาย,สามพราน,นันทนาการและพักผ่อน,ของฝากหลากหลาย ขนมตาล ขนมเปี๊ยะอร่อย เดินเพลินๆ ชิลๆ แนะนำให้มาครับ,positive
ตลาดน้ำดอนหวาย,สามพราน,นันทนาการและพักผ่อน,คนเยอะมาก ทางเดินค่อนข้างเบียดเสียด แต่ของกินมีให้เลือกเยอะจนตาลาย,neutral
ตลาดน้ำดอนหวาย,สามพราน,นันทนาการและพักผ่อน,ที่จอดรถไม่เพียงพอ ต้องวนหาอยู่นาน และทางเดินอากาศค่อนข้างร้อนอบอ้าว,negative
พระราชวังสนามจันทร์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,บรรยากาศร่มรื่น ต้นไม้ใหญ่เยอะมาก พระตำหนักชาลีมงคลอาสน์สวยงามคลาสสิก,positive
พระราชวังสนามจันทร์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,เป็นแหล่งเรียนรู้ประวัติศาสตร์ที่ดีมาก อากาศดี เหมาะกับการเดินเล่นและออกกำลังกาย,positive
พระราชวังสนามจันทร์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,ต้องแต่งกายสุภาพเรียบร้อย มีข้อกำหนดเคร่งครัด ควรศึกษาข้อปฏิบัติก่อนมา,neutral
พุทธมณฑล,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,สถานที่กว้างขวาง ร่มรื่น เงียบสงบ เหมาะแก่การมาปฏิบัติธรรมและพักผ่อนหย่อนใจ,positive
พุทธมณฑล,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,องค์พระประธานสง่างามมาก ขี่จักรยานรับลมช่วงเย็นฟินสุดๆ แนะนำเลยครับ,positive
พุทธมณฑล,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,สถานที่มีพื้นที่กว้างมาก เดินเท้าอาจจะเหนื่อย แนะนำให้เช่าจักรยานปั่นรอบสวน,neutral
พุทธมณฑล,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,ห้องน้ำบางจุดอยู่ไกลและขาดการดูแลความสะอาด ควรปรับปรุงเรื่องสุขา,negative
วัดศีรษะทอง,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,ไปไหว้พระราหูที่วัดศีรษะทอง ขอพรเรื่องการงาน โชคลาภ มีของดำแปดอย่างจัดไว้สะดวก,positive
วัดศีรษะทอง,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,สถานที่ศักดิ์สิทธิ์ บรรยากาศเข้มขลัง มาช่วงค่ำวันพุธคนคึกคักเป็นพิเศษ,positive
วัดศีรษะทอง,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,ที่จอดรถช่วงงานพิธีแน่นมาก ต้องจอดริมทางแล้วเดินเข้ามา,neutral
ตลาดน้ำลำพญา,บางเลน,นันทนาการและพักผ่อน,ตลาดน้ำบรรยากาศบ้านๆ ริมแม่น้ำท่าจีน ผักสดผลไม้จากชาวสวนราคาถูกมาก,positive
ตลาดน้ำลำพญา,บางเลน,นันทนาการและพักผ่อน,นั่งทานก๋วยเตี๋ยวบนแพริมน้ำ ลมพัดเย็นสบาย อาหารอร่อย พ่อค้าแม่ค้าเป็นกันเอง,positive
ตลาดน้ำลำพญา,บางเลน,นันทนาการและพักผ่อน,เปิดเฉพาะวันเสาร์อาทิตย์และวันหยุด คนค่อนข้างแน่นในช่วงเที่ยง,neutral
ตลาดน้ำทุ่งบัวแดง,บางเลน,นันทนาการและพักผ่อน,ทุ่งบัวแดงสวยงามตระการตา นั่งเรือพายถ่ายรูปสวยมาก มีโดรนถ่ายมุมสูงให้ด้วย,positive
ตลาดน้ำทุ่งบัวแดง,บางเลน,นันทนาการและพักผ่อน,วิวสวย ถ่ายรูปออกมาสวยทุกมุม กาแฟและอาหารรสชาติดี บรรยากาศดี มีลมพัดเย็นสบาย,positive
ตลาดน้ำทุ่งบัวแดง,บางเลน,นันทนาการและพักผ่อน,แดดแรงช่วงสายถึงบ่าย ควรพกร่มหรือหมวกมาด้วย ถ้ามาเช้าๆ ดอกบัวจะบานสวยกว่า,neutral
ตลาดน้ำทุ่งบัวแดง,บางเลน,นันทนาการและพักผ่อน,ค่าบริการถ่ายภาพและนั่งเรือบางแพ็กเกจค่อนข้างสูง คิวนั่งเรือรอนานช่วงวันหยุด,negative
Bubble in the forest,สามพราน,นันทนาการและพักผ่อน,คาเฟ่สวยสไตล์มัลดีฟส์ มุมถ่ายรูปเยอะมาก อาหารและเครื่องดื่มจัดจานสวย,positive
Bubble in the forest,สามพราน,นันทนาการและพักผ่อน,สถานที่สวยงามตกแต่งอลังการ แต่คนต่อคิวถ่ายรูปเยอะมาก ต้องรอจังหวะนาน,neutral
Bubble in the forest,สามพราน,นันทนาการและพักผ่อน,ราคาอาหารและเครื่องดื่มค่อนข้างแพง และเวลารอคิวโต๊ะนานเกินไปในวันหยุด,negative
Dubua Café,นครชัยศรี,เกษตรกรรม,สถานที่กว้างมาก มีสัตว์ให้เด็กๆ ให้อาหาร บรรยากาศในสวนบัวร่มรื่น เหมาะกับครอบครัว,positive
Dubua Café,นครชัยศรี,เกษตรกรรม,ร้านกาแฟในฟาร์ม มีจักรยานน้ำให้ปั่นฟรี มีของกินให้เลือกหลายโซน คุ้มค่าที่ได้มา,positive
Dubua Café,นครชัยศรี,เกษตรกรรม,อากาศตอนกลางวันค่อนข้างร้อน พื้นที่กว้างเดินเมื่อยพอสมควร,neutral
เจษฎาเทคนิค มิวเซียม,นครชัยศรี,ศิลปะและวิทยาการ,รถโบราณและยานยนต์หายากเยอะมาก ตื่นตาตื่นใจ ได้ความรู้ เข้าชมฟรีไม่มีค่าใช้จ่าย,positive
เจษฎาเทคนิค มิวเซียม,นครชัยศรี,ศิลปะและวิทยาการ,เป็นแหล่งเรียนรู้ที่ยอดเยี่ยมสำหรับคนรักรถและเด็กๆ เจ้าหน้าที่ให้ข้อมูลดีมาก,positive
เจษฎาเทคนิค มิวเซียม,นครชัยศรี,ศิลปะและวิทยาการ,พื้นที่จัดแสดงบางส่วนค่อนข้างร้อน อากาศไม่ค่อยถ่ายเท แต่ตัวรถน่าสนใจมาก,neutral
วัดประชาราษฎร์บำรุง (วัดรางหมัน),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,วิหารสวยงามอลังการสีทองอร่าม บารมีหลวงปู่แผ้ว ไหว้พระแล้วรู้สึกสบายใจ,positive
วัดประชาราษฎร์บำรุง (วัดรางหมัน),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,วัดสะอาดสะอ้าน การจัดระเบียบดีมาก มีที่จอดรถเป็นสัดส่วน,positive
วัดดอนขนาก,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,ลอดถ้ำพญานาคสวยงามตระการตา จุดเช็คอินสายมูไม่ควรพลาด,positive
วัดดอนขนาก,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,วัดพัฒนาเร็วมาก สวยงามแปลกตา แต่เสาร์อาทิตย์คนเยอะมาก รถติดหน้าวัด,neutral
วัดดอนขนาก,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,ห้องน้ำไม่เพียงพอกับจำนวนนักท่องเที่ยวที่แห่กันมา ควรเพิ่มห้องน้ำ,negative
Air Orchids แอร์ออร์คิดส์,บางเลน,นันทนาการและพักผ่อน,ซูเปอร์มาร์เก็ตกล้วยไม้ มีกล้วยไม้และต้นไม้ให้เลือกละลานตา ราคาถูกมาก,positive
Air Orchids แอร์ออร์คิดส์,บางเลน,นันทนาการและพักผ่อน,มีรถเข็นให้ช้อปปิ้งต้นไม้สะดวก กาแฟในร้านรสชาติดี บรรยากาศร่มรื่น,positive
ถนนชมพูพันธุ์ทิพย์,กำแพงแสน,ธรรมชาติ,ช่วงดอกไม้บานสวยเหมือนญี่ปุ่น ถ่ายรูปโรแมนติกมาก แนะนำมาช่วงปลายมกราคม-กุมภาพันธ์,positive
